epoch,accuracy,loss,val_accuracy,val_loss
0,0.36285635828971863,1.3226758241653442,0.4322766661643982,1.2612392902374268
1,0.643509566783905,0.971297025680542,0.6368876099586487,0.9223982095718384
2,0.7932466268539429,0.5750391483306885,0.7089337110519409,0.7602801322937012
3,0.8411292433738708,0.4181720018386841,0.7002881765365601,0.7580875158309937
4,0.8867976665496826,0.32312121987342834,0.7002881765365601,0.8388899564743042
5,0.9072792530059814,0.2686508297920227,0.6858789920806885,0.8828883767127991
6,0.92637699842453,0.21908801794052124,0.6974063515663147,0.8899435997009277
7,0.9440907835960388,0.18476086854934692,0.6772334575653076,0.9770495295524597
8,0.9537780284881592,0.1548728346824646,0.6858789920806885,1.0133165121078491
9,0.9606974720954895,0.13723887503147125,0.6829971075057983,1.0698682069778442
10,0.9651259183883667,0.11974864453077316,0.6743515729904175,1.1225473880767822
11,0.9673401713371277,0.10960687696933746,0.6858789920806885,1.1489825248718262
12,0.9709382653236389,0.10147466510534286,0.6916426420211792,1.2259116172790527
13,0.9745364189147949,0.09322544187307358,0.6916426420211792,1.2530298233032227
14,0.9745364189147949,0.08862694352865219,0.6916426420211792,1.2526257038116455
15,0.973706066608429,0.08600720018148422,0.6858789920806885,1.2941612005233765
16,0.9761970639228821,0.07644724100828171,0.7060518860816956,1.3012515306472778
17,0.9759202599525452,0.0772315189242363,0.6945244669914246,1.3193875551223755
18,0.9753667116165161,0.07847719639539719,0.6887608170509338,1.353279709815979
19,0.975089967250824,0.0728745311498642,0.7060518860816956,1.362429141998291
